Time (UTC),Plays
5/7/2020 00:00:00,0
5/8/2020 00:00:00,0
5/9/2020 00:00:00,0
5/10/2020 00:00:00,0
5/11/2020 00:00:00,14
5/12/2020 00:00:00,3
5/13/2020 00:00:00,3
5/14/2020 00:00:00,2
5/15/2020 00:00:00,0
5/16/2020 00:00:00,0
5/17/2020 00:00:00,0
5/18/2020 00:00:00,0
5/19/2020 00:00:00,8
5/20/2020 00:00:00,11
5/21/2020 00:00:00,3
5/22/2020 00:00:00,3
5/23/2020 00:00:00,0
5/24/2020 00:00:00,0
5/25/2020 00:00:00,13
5/26/2020 00:00:00,1
5/27/2020 00:00:00,0
